	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
22_19632510	22	19632510	0.48	0.392157	0.465347	0.512438	0.548902	0.538462	0.521239	0.504299	0.488451	0.513274	0.48635	0.485185	0.500232	0.509295	0.509709
22_19633488	22	19633488	0.64	0.568627	0.544554	0.58209	0.56487	0.522478	0.54073	0.4993	0.49935	0.506625	0.48673	0.485085	0.500872	0.509663	0.509755
22_19633731	22	19633731	0.6	0.568627	0.485149	0.477612	0.51497	0.539461	0.53923	0.496701	0.50495	0.507375	0.48675	0.484745	0.501002	0.509691	0.509742
22_19635863	22	19635863	0.4	0.431373	0.475248	0.477612	0.439122	0.454545	0.430285	0.512298	0.511149	0.507525	0.48879	0.483735	0.502767	0.510143	0.509736
22_19645963	22	19645963	0.56	0.509804	0.50495	0.452736	0.433134	0.468531	0.492754	0.473105	0.453255	0.459227	0.49181	0.489345	0.511742	0.511689	0.510686
22_19646298	22	19646298	0.56	0.568627	0.455446	0.507463	0.461078	0.466533	0.462269	0.469306	0.450355	0.459427	0.49133	0.489775	0.512017	0.511711	0.510775
22_19646807	22	19646807	0.36	0.313725	0.39604	0.432836	0.469062	0.444555	0.444778	0.453709	0.437256	0.463677	0.49083	0.489565	0.512552	0.511719	0.510788
22_19647083	22	19647083	0.32	0.372549	0.435644	0.427861	0.431138	0.415584	0.441779	0.437912	0.429757	0.463677	0.49065	0.489375	0.512822	0.511803	0.510847
22_19647143	22	19647143	0.44	0.392157	0.346535	0.427861	0.419162	0.417582	0.447276	0.433713	0.427857	0.463777	0.49035	0.489285	0.512852	0.511819	0.510855
22_19647354	22	19647354	0.44	0.411765	0.346535	0.298507	0.379242	0.420579	0.435282	0.431514	0.420058	0.463777	0.48961	0.489235	0.513012	0.511855	0.510896
22_19650521	22	19650521	0.36	0.352941	0.287129	0.253731	0.285429	0.321678	0.35982	0.359728	0.394861	0.468577	0.48573	0.486595	0.514622	0.512711	0.510896
22_19651548	22	19651548	0.36	0.392157	0.356436	0.308458	0.319361	0.345654	0.347826	0.372525	0.40046	0.466927	0.48267	0.486005	0.515707	0.512873	0.510848
22_19652459	22	19652459	0.64	0.568627	0.574257	0.502488	0.43513	0.377622	0.383808	0.370726	0.417558	0.462127	0.48161	0.485985	0.516752	0.512949	0.510863
22_19654896	22	19654896	0.32	0.27451	0.366337	0.402985	0.429142	0.441558	0.432284	0.471706	0.466453	0.462127	0.48389	0.487255	0.518752	0.513995	0.511032
22_19655298	22	19655298	0.28	0.235294	0.366337	0.378109	0.467066	0.478521	0.463268	0.478704	0.473553	0.460227	0.48391	0.487515	0.519042	0.513917	0.511087
22_19655722	22	19655722	0.52	0.54902	0.584158	0.567164	0.530938	0.487512	0.49975	0.493901	0.481052	0.460427	0.48569	0.487935	0.519457	0.514001	0.511161
22_19656032	22	19656032	0.4	0.411765	0.445545	0.432836	0.461078	0.512488	0.532734	0.5015	0.484152	0.462827	0.48613	0.487805	0.519522	0.513939	0.511173
22_19656321	22	19656321	0.44	0.470588	0.50495	0.487562	0.530938	0.54046	0.554223	0.507099	0.486251	0.464927	0.48605	0.487495	0.519627	0.514009	0.511186
22_19657139	22	19657139	0.6	0.607843	0.564356	0.567164	0.578842	0.59041	0.57921	0.54969	0.49975	0.468677	0.48433	0.487565	0.520492	0.514095	0.511267
22_19658511	22	19658511	0.44	0.509804	0.564356	0.606965	0.57485	0.575425	0.586207	0.564487	0.506249	0.478476	0.48061	0.488275	0.521627	0.514501	0.511513
22_19662017	22	19662017	0.44	0.431373	0.435644	0.442786	0.520958	0.508492	0.469265	0.4995	0.526147	0.499075	0.474191	0.489665	0.524722	0.514887	0.512023
22_19665535	22	19665535	0.6	0.588235	0.534653	0.462687	0.53493	0.545455	0.528736	0.526295	0.508349	0.506375	0.47701	0.495035	0.527947	0.515423	0.512459
22_19666929	22	19666929	0.4	0.352941	0.415842	0.492537	0.481038	0.531469	0.555222	0.521096	0.50085	0.499525	0.473751	0.497545	0.529367	0.515719	0.512604
22_19671576	22	19671576	0.44	0.411765	0.435644	0.383085	0.419162	0.433566	0.434783	0.453709	0.471153	0.489376	0.47733	0.504475	0.531527	0.516977	0.512632
22_19674207	22	19674207	0.68	0.588235	0.514851	0.512438	0.510978	0.475524	0.470265	0.446511	0.460854	0.474126	0.47835	0.508915	0.532492	0.516919	0.512598
22_19675001	22	19675001	0.72	0.686275	0.623762	0.572139	0.506986	0.423576	0.464268	0.44991	0.469553	0.473526	0.47833	0.510425	0.532532	0.516869	0.512605
22_19681131	22	19681131	0.52	0.588235	0.613861	0.512438	0.463074	0.470529	0.467266	0.473905	0.449855	0.468077	0.49069	0.520195	0.532847	0.517429	0.51234
22_19683390	22	19683390	0.56	0.627451	0.633663	0.532338	0.421158	0.395604	0.377311	0.393721	0.458754	0.473476	0.48987	0.522185	0.532467	0.516837	0.512474
22_19683684	22	19683684	0.4	0.372549	0.39604	0.343284	0.333333	0.384615	0.395802	0.393921	0.464054	0.473826	0.48993	0.522285	0.532667	0.516943	0.512484
22_19684179	22	19684179	0.36	0.27451	0.306931	0.308458	0.323353	0.367632	0.37931	0.396721	0.468953	0.475126	0.49033	0.522555	0.532942	0.517057	0.512509
22_19684470	22	19684470	0.2	0.196078	0.257426	0.343284	0.401198	0.386613	0.344828	0.395121	0.471653	0.476126	0.49003	0.522775	0.533397	0.517085	0.512521
22_19684962	22	19684962	0.28	0.27451	0.306931	0.263682	0.349301	0.371628	0.386807	0.40232	0.469353	0.478226	0.48979	0.522825	0.533762	0.517103	0.512521
22_19685789	22	19685789	0.28	0.235294	0.326733	0.412935	0.491018	0.465534	0.404298	0.434513	0.466053	0.482576	0.49175	0.524695	0.534387	0.517035	0.512533
22_19686138	22	19686138	0.64	0.588235	0.60396	0.492537	0.491018	0.444555	0.425787	0.453509	0.459954	0.485876	0.49263	0.525445	0.534622	0.517043	0.512526
22_19690620	22	19690620	0.68	0.607843	0.574257	0.477612	0.536926	0.451548	0.452774	0.523495	0.515548	0.471926	0.50209	0.529955	0.537737	0.517007	0.512825
22_19695104	22	19695104	0.72	0.705882	0.663366	0.477612	0.520958	0.531469	0.558721	0.536293	0.479752	0.488626	0.51389	0.534235	0.536942	0.517671	0.513214
22_19697481	22	19697481	0.6	0.54902	0.524752	0.507463	0.463074	0.415584	0.442279	0.469906	0.474253	0.502625	0.52259	0.538875	0.536737	0.517529	0.513412
22_19697698	22	19697698	0.6	0.647059	0.514851	0.472637	0.42515	0.412587	0.436782	0.465107	0.474253	0.503025	0.52325	0.539175	0.536952	0.517417	0.51342
22_19697744	22	19697744	0.28	0.313725	0.356436	0.38806	0.403194	0.426573	0.434283	0.466707	0.472653	0.502975	0.52331	0.539225	0.536957	0.517409	0.513418
22_19697795	22	19697795	0.2	0.254902	0.247525	0.353234	0.39521	0.426573	0.426287	0.465307	0.471153	0.502925	0.52377	0.539395	0.537062	0.517411	0.513418
22_19697924	22	19697924	0.2	0.137255	0.217822	0.293532	0.389222	0.41958	0.404798	0.463507	0.471853	0.503825	0.52463	0.539685	0.537212	0.517383	0.513427
22_19702259	22	19702259	0.6	0.607843	0.584158	0.502488	0.407186	0.417582	0.444778	0.464507	0.464854	0.512474	0.545389	0.550694	0.539867	0.517389	0.513642
22_19702727	22	19702727	0.24	0.235294	0.336634	0.40796	0.46507	0.461538	0.450775	0.478704	0.472253	0.513174	0.547929	0.551084	0.540342	0.517519	0.513646
22_19702847	22	19702847	0.48	0.529412	0.60396	0.522388	0.45509	0.45954	0.458771	0.481904	0.476652	0.513024	0.548269	0.551194	0.540442	0.517499	0.513678
22_19703979	22	19703979	0.52	0.607843	0.623762	0.572139	0.562874	0.492507	0.518741	0.508498	0.506449	0.514674	0.551069	0.552764	0.541327	0.517683	0.513742
22_19711760	22	19711760	0.6	0.529412	0.584158	0.467662	0.528942	0.515485	0.513243	0.559288	0.59614	0.589121	0.577228	0.563764	0.543377	0.518865	0.514965
22_19732955	22	19732955	0.6	0.54902	0.534653	0.552239	0.582834	0.6004	0.583708	0.607079	0.616538	0.636068	0.628327	0.579534	0.545712	0.524425	0.517738
22_19734127	22	19734127	0.4	0.470588	0.465347	0.497512	0.578842	0.577423	0.583708	0.596281	0.616238	0.631718	0.629507	0.581704	0.545047	0.524769	0.517954
22_19735002	22	19735002	0.48	0.568627	0.60396	0.567164	0.578842	0.587413	0.588206	0.607678	0.622338	0.629019	0.631267	0.583734	0.544097	0.524955	0.518118
22_19735292	22	19735292	0.72	0.666667	0.613861	0.626866	0.61477	0.602398	0.601199	0.608278	0.622138	0.627969	0.629647	0.584534	0.544187	0.525109	0.518166
22_19736532	22	19736532	0.72	0.607843	0.564356	0.567164	0.620758	0.645355	0.635182	0.615677	0.612439	0.625619	0.634407	0.586224	0.543762	0.525617	0.518361
22_19740492	22	19740492	0.56	0.54902	0.544554	0.562189	0.596806	0.615385	0.613693	0.617277	0.622438	0.618369	0.635427	0.587894	0.541192	0.527285	0.519137
22_19743069	22	19743069	0.64	0.568627	0.534653	0.552239	0.61477	0.616384	0.626187	0.613677	0.626837	0.615469	0.638767	0.588314	0.541137	0.528177	0.519486
22_19748480	22	19748480	0.4	0.411765	0.425743	0.477612	0.530938	0.544456	0.570715	0.621676	0.611839	0.621069	0.628207	0.586394	0.543232	0.529243	0.520528
22_19752297	22	19752297	0.64	0.666667	0.643564	0.656716	0.59481	0.579421	0.571714	0.605479	0.618638	0.631418	0.616748	0.593804	0.547237	0.529743	0.521066
22_19765420	22	19765420	0.48	0.54902	0.623762	0.597015	0.626747	0.624376	0.658671	0.659468	0.647235	0.618369	0.593128	0.594474	0.545622	0.530521	0.523127
22_19769816	22	19769816	0.48	0.529412	0.50495	0.527363	0.576846	0.59041	0.587206	0.575685	0.59614	0.587421	0.578148	0.590404	0.543382	0.530753	0.524351
22_19769849	22	19769849	0.44	0.45098	0.49505	0.517413	0.57485	0.587413	0.587706	0.574885	0.59674	0.587271	0.577948	0.590434	0.543382	0.530747	0.524362
22_19770705	22	19770705	0.52	0.568627	0.594059	0.616915	0.618762	0.607393	0.572714	0.563487	0.589541	0.583621	0.574629	0.590634	0.543757	0.530725	0.524531
22_19771914	22	19771914	0.64	0.607843	0.633663	0.587065	0.530938	0.513487	0.530235	0.563887	0.572243	0.564922	0.570689	0.590874	0.545112	0.530973	0.524769
22_19773764	22	19773764	0.64	0.647059	0.663366	0.641791	0.616766	0.57043	0.554223	0.542292	0.545545	0.550572	0.569989	0.589784	0.546992	0.530675	0.525055
22_19774281	22	19774281	0.72	0.627451	0.623762	0.567164	0.471058	0.494505	0.528236	0.556889	0.545245	0.549223	0.571189	0.588244	0.547397	0.530495	0.525161
22_19774333	22	19774333	0.6	0.627451	0.613861	0.552239	0.497006	0.487512	0.527736	0.556089	0.545745	0.549573	0.571029	0.588114	0.547457	0.530471	0.525177
22_19774389	22	19774389	0.6	0.509804	0.445545	0.477612	0.489022	0.480519	0.529235	0.555889	0.545745	0.549423	0.571009	0.588104	0.547522	0.530455	0.525183
22_19774983	22	19774983	0.6	0.54902	0.524752	0.507463	0.499002	0.480519	0.51974	0.545291	0.536846	0.551472	0.571049	0.587924	0.547937	0.530319	0.525307
22_19779259	22	19779259	0.48	0.470588	0.524752	0.547264	0.548902	0.477522	0.475762	0.464707	0.494651	0.542323	0.571629	0.578164	0.551292	0.530011	0.525821
22_19779528	22	19779528	0.24	0.235294	0.306931	0.313433	0.423154	0.471528	0.474763	0.458108	0.49895	0.542723	0.571429	0.577334	0.551487	0.530039	0.525872
22_19779897	22	19779897	0.76	0.745098	0.663366	0.532338	0.421158	0.415584	0.463268	0.45151	0.505249	0.542723	0.569469	0.576104	0.551547	0.530111	0.525938
22_19779898	22	19779898	0.72	0.745098	0.663366	0.527363	0.421158	0.414585	0.462769	0.45151	0.505249	0.542723	0.569449	0.576104	0.551552	0.530111	0.525938
22_19779976	22	19779976	0.12	0.254902	0.346535	0.437811	0.453094	0.415584	0.468766	0.45031	0.507549	0.542723	0.569569	0.575934	0.551582	0.530135	0.525941
22_19780522	22	19780522	0.44	0.431373	0.445545	0.467662	0.459082	0.458541	0.43928	0.454309	0.509449	0.537873	0.568609	0.574294	0.551842	0.530205	0.526115
22_19782145	22	19782145	0.48	0.352941	0.29703	0.313433	0.341317	0.373626	0.42079	0.478304	0.510549	0.530873	0.566109	0.570044	0.552707	0.530415	0.526417
22_19783541	22	19783541	0.64	0.568627	0.455446	0.477612	0.542914	0.566434	0.561219	0.513697	0.531147	0.522924	0.565349	0.568474	0.553937	0.530861	0.526591
22_19783667	22	19783667	0.64	0.588235	0.544554	0.532338	0.556886	0.552448	0.570715	0.517497	0.531647	0.520924	0.564869	0.568294	0.554122	0.530893	0.52662
22_19785785	22	19785785	0.44	0.45098	0.524752	0.547264	0.586826	0.575425	0.582709	0.59888	0.550445	0.511424	0.562009	0.563584	0.556367	0.531385	0.526962
22_19788496	22	19788496	0.76	0.72549	0.673267	0.562189	0.61477	0.628372	0.629185	0.580284	0.552345	0.513774	0.557969	0.556234	0.557317	0.531919	0.527436
22_19794615	22	19794615	0.48	0.313725	0.356436	0.343284	0.419162	0.436563	0.422789	0.443911	0.493851	0.550972	0.546709	0.549845	0.558387	0.533207	0.527685
22_19795014	22	19795014	0.12	0.098039	0.257426	0.38806	0.451098	0.440559	0.46077	0.45131	0.49705	0.547673	0.547049	0.549825	0.558247	0.533201	0.527677
22_19795781	22	19795781	0.72	0.627451	0.623762	0.572139	0.489022	0.470529	0.467766	0.482503	0.508549	0.549723	0.547389	0.549745	0.558477	0.533157	0.527712
22_19795839	22	19795839	0.72	0.666667	0.663366	0.621891	0.491018	0.484515	0.475262	0.486103	0.509749	0.549273	0.547369	0.549705	0.558477	0.533133	0.527726
22_19796294	22	19796294	0.6	0.666667	0.544554	0.552239	0.459082	0.491508	0.486757	0.505899	0.519648	0.548523	0.547409	0.548905	0.558212	0.533115	0.527834
22_19796334	22	19796334	0.48	0.529412	0.623762	0.587065	0.457086	0.492507	0.492254	0.508498	0.520748	0.548423	0.547649	0.548795	0.558132	0.533111	0.527847
22_19796383	22	19796383	0.8	0.686275	0.60396	0.562189	0.45509	0.483516	0.49925	0.511098	0.522148	0.548573	0.547909	0.548675	0.558027	0.533113	0.527847
22_19796492	22	19796492	0.52	0.333333	0.336634	0.383085	0.46507	0.470529	0.487756	0.518696	0.523148	0.549023	0.548129	0.548655	0.558002	0.533123	0.527843
22_19796972	22	19796972	0.36	0.372549	0.405941	0.393035	0.506986	0.483516	0.522739	0.532294	0.524348	0.549573	0.549449	0.547965	0.558302	0.533113	0.527813
22_19797483	22	19797483	0.48	0.372549	0.405941	0.457711	0.578842	0.575425	0.56072	0.55069	0.535046	0.548923	0.550829	0.547405	0.558657	0.533161	0.527824
22_19800213	22	19800213	0.36	0.45098	0.49505	0.512438	0.580838	0.601399	0.618191	0.617477	0.577042	0.542423	0.553449	0.544575	0.561162	0.532929	0.528563
22_19800838	22	19800838	0.6	0.568627	0.60396	0.631841	0.646707	0.633367	0.606197	0.608278	0.583842	0.548323	0.552629	0.543975	0.561247	0.532835	0.528621
22_19804621	22	19804621	0.24	0.333333	0.336634	0.313433	0.399202	0.521479	0.569215	0.588082	0.589541	0.571871	0.543709	0.544065	0.563457	0.534071	0.52915
22_19807668	22	19807668	0.52	0.568627	0.584158	0.522388	0.570858	0.614386	0.583708	0.576085	0.587741	0.579171	0.542089	0.540185	0.563237	0.534589	0.529735
22_19809688	22	19809688	0.6	0.568627	0.594059	0.517413	0.510978	0.53047	0.566217	0.588282	0.573343	0.576721	0.535369	0.534475	0.562227	0.534491	0.530079
22_19812799	22	19812799	0.64	0.607843	0.554455	0.562189	0.56487	0.574426	0.578711	0.561688	0.557544	0.581221	0.52069	0.528425	0.562387	0.535185	0.530411
22_19815859	22	19815859	0.6	0.45098	0.49505	0.507463	0.560878	0.564436	0.546227	0.528894	0.569043	0.578421	0.51281	0.521455	0.560232	0.536047	0.531186
22_19817317	22	19817317	0.32	0.411765	0.445545	0.517413	0.491018	0.529471	0.54023	0.564087	0.571943	0.566572	0.51319	0.515595	0.559692	0.536047	0.531454
22_19826648	22	19826648	0.44	0.470588	0.435644	0.427861	0.443114	0.454545	0.434783	0.462707	0.473353	0.482276	0.51707	0.518275	0.551857	0.535909	0.532706
22_19826893	22	19826893	0.56	0.45098	0.455446	0.462687	0.43513	0.411588	0.426287	0.457908	0.463854	0.479676	0.51747	0.518475	0.551612	0.535895	0.532683
22_19827521	22	19827521	0.28	0.352941	0.356436	0.373134	0.37525	0.374625	0.393803	0.418516	0.453355	0.476676	0.51749	0.519975	0.550897	0.535781	0.532665
22_19834296	22	19834296	0.28	0.313725	0.356436	0.348259	0.331337	0.335664	0.364318	0.390122	0.383862	0.438078	0.50845	0.527325	0.547817	0.536763	0.532175
22_19834829	22	19834829	0.24	0.27451	0.287129	0.283582	0.303393	0.336663	0.350825	0.391122	0.39586	0.438928	0.50657	0.526965	0.547587	0.536857	0.532202
22_19837476	22	19837476	0.32	0.313725	0.306931	0.328358	0.353293	0.413586	0.385807	0.397121	0.418258	0.448328	0.49801	0.526895	0.545312	0.537081	0.531833
22_19837593	22	19837593	0.44	0.372549	0.386139	0.348259	0.343313	0.408591	0.395302	0.39912	0.419758	0.449728	0.49771	0.526935	0.545187	0.537125	0.531803
22_19837629	22	19837629	0.48	0.333333	0.415842	0.383085	0.359281	0.396603	0.403298	0.39932	0.420058	0.450027	0.49777	0.526895	0.545207	0.537141	0.531785
22_19837700	22	19837700	0.4	0.411765	0.425743	0.39801	0.361277	0.384615	0.407296	0.40032	0.419758	0.450777	0.49775	0.526805	0.545122	0.537139	0.531759
22_19837794	22	19837794	0.36	0.372549	0.336634	0.373134	0.40519	0.372627	0.412294	0.40012	0.420558	0.450327	0.49733	0.526815	0.545057	0.537127	0.531733
22_19838463	22	19838463	0	0.098039	0.316832	0.427861	0.447106	0.41958	0.401799	0.412517	0.430657	0.451777	0.49633	0.526525	0.544462	0.537403	0.531709
22_19839117	22	19839117	0.48	0.568627	0.524752	0.472637	0.399202	0.425574	0.428786	0.429114	0.442356	0.456327	0.49495	0.526165	0.543812	0.537413	0.531714
22_19844863	22	19844863	0.64	0.568627	0.574257	0.59204	0.628743	0.618382	0.62069	0.578684	0.525647	0.509675	0.47943	0.530775	0.541287	0.538337	0.531887
22_19846403	22	19846403	0.56	0.568627	0.524752	0.537313	0.502994	0.508492	0.54023	0.54889	0.545445	0.529824	0.47905	0.531865	0.539677	0.538229	0.531755
22_19849775	22	19849775	0.4	0.333333	0.346535	0.39801	0.481038	0.480519	0.515742	0.530494	0.553945	0.526724	0.48239	0.532475	0.537072	0.537539	0.53159
22_19852890	22	19852890	0.52	0.509804	0.465347	0.482587	0.500998	0.55045	0.583708	0.610878	0.547745	0.520424	0.49291	0.530245	0.535117	0.537825	0.53138
22_19863626	22	19863626	0.32	0.372549	0.376238	0.39801	0.419162	0.398601	0.418791	0.406919	0.408259	0.488726	0.535709	0.526855	0.530707	0.539069	0.532343
22_19864490	22	19864490	0.64	0.45098	0.49505	0.437811	0.449102	0.394605	0.382309	0.39992	0.421858	0.490825	0.538769	0.526545	0.530552	0.539345	0.532404
22_19864649	22	19864649	0.28	0.352941	0.346535	0.373134	0.41517	0.398601	0.381809	0.39892	0.425757	0.490875	0.538469	0.526425	0.530602	0.539399	0.532437
22_19869187	22	19869187	0.6	0.490196	0.534653	0.492537	0.602794	0.592408	0.547726	0.520496	0.517248	0.521274	0.542149	0.526205	0.528517	0.540657	0.532594
22_19876070	22	19876070	0.44	0.45098	0.564356	0.542289	0.606786	0.639361	0.641179	0.634673	0.632537	0.582121	0.545369	0.518685	0.530797	0.541359	0.532752
22_19881687	22	19881687	0.68	0.588235	0.584158	0.547264	0.550898	0.543457	0.551724	0.581684	0.59764	0.59947	0.539709	0.525065	0.534832	0.542345	0.532727
22_19882180	22	19882180	0.72	0.666667	0.613861	0.60199	0.526946	0.549451	0.562219	0.577085	0.592541	0.59837	0.541189	0.526015	0.535422	0.542723	0.532753
22_19882513	22	19882513	0.4	0.568627	0.49505	0.542289	0.550898	0.575425	0.568216	0.574885	0.587641	0.59602	0.543029	0.526245	0.535937	0.542829	0.532758
22_19884168	22	19884168	0.36	0.411765	0.524752	0.557214	0.522954	0.55045	0.576712	0.585083	0.587141	0.588671	0.548549	0.528325	0.536297	0.543029	0.532805
22_19885834	22	19885834	0.52	0.509804	0.50495	0.492537	0.576846	0.614386	0.616692	0.577485	0.570043	0.580121	0.551729	0.530035	0.536362	0.543453	0.532637
22_19891229	22	19891229	0.6	0.627451	0.60396	0.572139	0.580838	0.588412	0.582209	0.564887	0.556944	0.566222	0.565049	0.532805	0.537692	0.544545	0.532199
22_19894033	22	19894033	0.44	0.45098	0.465347	0.467662	0.479042	0.48951	0.516242	0.543691	0.562844	0.567772	0.572829	0.533505	0.539817	0.545353	0.532402
22_19894303	22	19894303	0.32	0.45098	0.455446	0.432836	0.409182	0.44955	0.514243	0.545091	0.560644	0.568422	0.572069	0.533175	0.539882	0.545455	0.532478
22_19894592	22	19894592	0.56	0.529412	0.514851	0.462687	0.413174	0.447552	0.514743	0.546891	0.563044	0.568172	0.571769	0.533025	0.540057	0.545497	0.532534
22_19897505	22	19897505	0.6	0.568627	0.524752	0.502488	0.560878	0.589411	0.611194	0.579684	0.554945	0.559972	0.565549	0.529675	0.541292	0.546477	0.532505
22_19899274	22	19899274	0.64	0.509804	0.524752	0.547264	0.57485	0.582418	0.568716	0.573485	0.563044	0.555272	0.559389	0.529315	0.541362	0.547401	0.532312
22_19900324	22	19900324	0.6	0.54902	0.564356	0.552239	0.550898	0.51049	0.552224	0.562288	0.568543	0.556422	0.556289	0.527795	0.541417	0.548031	0.532342
22_19901900	22	19901900	0.44	0.529412	0.584158	0.59204	0.556886	0.4995	0.551724	0.558488	0.559444	0.551922	0.550709	0.526965	0.540852	0.548863	0.532508
22_19901968	22	19901968	0.64	0.627451	0.594059	0.537313	0.540918	0.4995	0.546727	0.558488	0.558944	0.551722	0.550429	0.526875	0.540887	0.548887	0.532514
22_19902112	22	19902112	0.56	0.588235	0.584158	0.467662	0.50499	0.535465	0.54073	0.559488	0.558844	0.551622	0.549889	0.526745	0.540787	0.548951	0.532485
22_19902302	22	19902302	0.48	0.470588	0.435644	0.432836	0.510978	0.551449	0.542729	0.567287	0.559544	0.551572	0.549329	0.526515	0.540717	0.549091	0.532523
22_19912295	22	19912295	0.48	0.431373	0.415842	0.502488	0.60479	0.607393	0.591704	0.529094	0.532547	0.541273	0.532749	0.532255	0.535277	0.551135	0.533124
22_19912316	22	19912316	0.44	0.490196	0.524752	0.517413	0.596806	0.607393	0.590705	0.528094	0.532147	0.541273	0.532629	0.532255	0.535262	0.551147	0.533122
22_19916210	22	19916210	0.64	0.568627	0.564356	0.572139	0.556886	0.53047	0.54023	0.528894	0.545045	0.520674	0.52451	0.540405	0.536282	0.551825	0.533159
22_19918279	22	19918279	0.56	0.470588	0.366337	0.412935	0.530938	0.57043	0.55972	0.557888	0.518948	0.508725	0.525709	0.543615	0.537487	0.551939	0.533307
22_19918783	22	19918783	0.52	0.607843	0.564356	0.577114	0.608782	0.531469	0.556222	0.552889	0.519448	0.509025	0.52391	0.544275	0.537437	0.552081	0.533409
22_19920696	22	19920696	0.6	0.509804	0.524752	0.412935	0.481038	0.506494	0.547226	0.514897	0.513049	0.512424	0.52231	0.544285	0.536527	0.552567	0.533543
22_19921762	22	19921762	0.52	0.529412	0.544554	0.59204	0.536926	0.491508	0.475762	0.505499	0.509849	0.513424	0.52073	0.544125	0.536887	0.552839	0.533647
22_19921903	22	19921903	0.6	0.509804	0.514851	0.527363	0.491018	0.470529	0.478761	0.506899	0.509949	0.512724	0.51967	0.544095	0.536827	0.552923	0.533648
22_19928416	22	19928416	0.56	0.490196	0.445545	0.442786	0.441118	0.442557	0.464768	0.504899	0.50135	0.499175	0.50861	0.542785	0.537572	0.554713	0.534703
22_19932836	22	19932836	0.56	0.607843	0.554455	0.567164	0.562874	0.551449	0.56022	0.534693	0.505149	0.498025	0.50713	0.544905	0.541322	0.556053	0.535116
22_19934923	22	19934923	0.32	0.294118	0.316832	0.383085	0.43513	0.445554	0.476262	0.4993	0.49565	0.502875	0.50871	0.545225	0.543152	0.556989	0.535293
22_19935630	22	19935630	0.56	0.568627	0.475248	0.462687	0.453094	0.455544	0.468266	0.485303	0.488351	0.500925	0.50835	0.545145	0.543727	0.557333	0.535365
22_19935883	22	19935883	0.52	0.509804	0.49505	0.457711	0.463074	0.465534	0.461769	0.481504	0.487151	0.503125	0.50821	0.545115	0.544032	0.557413	0.535367
22_19935892	22	19935892	0.56	0.45098	0.50495	0.437811	0.459082	0.468531	0.461769	0.481704	0.487051	0.503025	0.50823	0.545135	0.544047	0.557417	0.535366
22_19935918	22	19935918	0.48	0.509804	0.455446	0.457711	0.451098	0.468531	0.464768	0.480304	0.487151	0.503175	0.50833	0.545205	0.544032	0.557421	0.535368
22_19937015	22	19937015	0.44	0.372549	0.366337	0.40796	0.437126	0.450549	0.470265	0.446911	0.50205	0.498325	0.50947	0.545455	0.545252	0.557693	0.535601
22_19939623	22	19939623	0.64	0.607843	0.445545	0.472637	0.427146	0.428571	0.432784	0.496501	0.49675	0.496375	0.51491	0.547475	0.546762	0.557541	0.536189
22_19940569	22	19940569	0.52	0.509804	0.50495	0.467662	0.479042	0.523477	0.510245	0.514297	0.494551	0.488726	0.51599	0.548315	0.547002	0.557541	0.536334
22_19944145	22	19944145	0.44	0.411765	0.445545	0.497512	0.516966	0.514486	0.489255	0.513297	0.49625	0.488226	0.51483	0.548935	0.547067	0.558425	0.536662
22_19946164	22	19946164	0.56	0.470588	0.49505	0.487562	0.467066	0.476523	0.437281	0.466307	0.487151	0.496675	0.51815	0.549625	0.546287	0.558707	0.536667
22_19946502	22	19946502	0.24	0.392157	0.465347	0.492537	0.42515	0.413586	0.449775	0.464507	0.485351	0.496925	0.51901	0.549645	0.546202	0.558683	0.536706
22_19946528	22	19946528	0.52	0.490196	0.415842	0.462687	0.421158	0.421578	0.455772	0.463107	0.485251	0.496925	0.51911	0.549545	0.546207	0.558685	0.536711
22_19948084	22	19948084	0.28	0.215686	0.227723	0.273632	0.431138	0.462537	0.475262	0.438512	0.470553	0.499475	0.52403	0.549485	0.546227	0.559261	0.536596
22_19952116	22	19952116	0.56	0.470588	0.435644	0.497512	0.540918	0.55045	0.522239	0.519296	0.505549	0.510924	0.535969	0.550624	0.544497	0.560273	0.536655
22_19955157	22	19955157	0.6	0.509804	0.50495	0.557214	0.580838	0.581419	0.546727	0.541092	0.538146	0.528874	0.545329	0.544385	0.544357	0.560919	0.536426
22_19955474	22	19955474	0.68	0.568627	0.594059	0.616915	0.634731	0.588412	0.543228	0.540892	0.538646	0.530323	0.546009	0.544195	0.543912	0.560947	0.536447
22_19957200	22	19957200	0.72	0.647059	0.643564	0.547264	0.540918	0.511489	0.484758	0.532294	0.548845	0.539023	0.548969	0.543135	0.544832	0.561233	0.536449
22_19957654	22	19957654	0.6	0.588235	0.613861	0.59204	0.528942	0.4995	0.483758	0.539092	0.551545	0.540473	0.549269	0.542265	0.545442	0.561181	0.53643
22_19960814	22	19960814	0.44	0.392157	0.405941	0.462687	0.56487	0.552448	0.561719	0.584683	0.566143	0.563722	0.554829	0.543445	0.546727	0.561279	0.536645
22_19961490	22	19961490	0.6	0.607843	0.663366	0.61194	0.61477	0.598402	0.594703	0.603279	0.569143	0.567522	0.556249	0.544185	0.547167	0.561447	0.536676
22_19962429	22	19962429	0.6	0.568627	0.594059	0.651741	0.632735	0.627373	0.625687	0.59868	0.572843	0.571671	0.561489	0.543895	0.548072	0.561735	0.536735
