	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
21_17175907	21	17175907	0.08	0.215686	0.257426	0.263682	0.329341	0.355644	0.326337	0.35053	0.349465	0.381381	0.377512	0.370926	0.374618	0.377233	0.380135
21_17177209	21	17177209	0.24	0.235294	0.237624	0.218905	0.297405	0.326673	0.378311	0.343731	0.362064	0.383831	0.377792	0.369666	0.375058	0.377483	0.380181
21_17177461	21	17177461	0.44	0.372549	0.366337	0.412935	0.363273	0.378621	0.365817	0.346731	0.366563	0.383481	0.377592	0.369466	0.375188	0.377573	0.380179
21_17177466	21	17177466	0.4	0.372549	0.366337	0.427861	0.365269	0.380619	0.367316	0.346731	0.366663	0.383481	0.377592	0.369436	0.375178	0.377575	0.38018
21_17177871	21	17177871	0.4	0.372549	0.475248	0.512438	0.487026	0.447552	0.374813	0.346131	0.368463	0.382481	0.377172	0.369066	0.375263	0.377725	0.380237
21_17178341	21	17178341	0.36	0.313725	0.306931	0.313433	0.383234	0.394605	0.384808	0.346531	0.369163	0.382681	0.376452	0.368966	0.375398	0.377871	0.380266
21_17178606	21	17178606	0.32	0.333333	0.415842	0.363184	0.331337	0.347652	0.372814	0.35053	0.373063	0.382081	0.376232	0.368706	0.375183	0.377959	0.380283
21_17179546	21	17179546	0.4	0.313725	0.346535	0.313433	0.323353	0.31968	0.322339	0.373325	0.379262	0.378581	0.375592	0.368736	0.375703	0.378087	0.380293
21_17179940	21	17179940	0.4	0.431373	0.386139	0.328358	0.319361	0.316683	0.324338	0.388122	0.384562	0.375031	0.375892	0.368586	0.376153	0.378223	0.380371
21_17180047	21	17180047	0.32	0.235294	0.227723	0.293532	0.327345	0.325674	0.325337	0.388722	0.386161	0.374781	0.376332	0.368606	0.376188	0.378261	0.380404
21_17180243	21	17180243	0.24	0.313725	0.326733	0.298507	0.309381	0.316683	0.33933	0.389522	0.388461	0.374131	0.376252	0.368766	0.376293	0.378383	0.380409
21_17180642	21	17180642	0.4	0.352941	0.326733	0.293532	0.325349	0.332667	0.35932	0.382923	0.390361	0.373581	0.375572	0.369496	0.376448	0.378515	0.380479
21_17180666	21	17180666	0.2	0.313725	0.306931	0.293532	0.333333	0.33966	0.36032	0.382923	0.390161	0.373931	0.375572	0.369556	0.376453	0.378521	0.380476
21_17181582	21	17181582	0.28	0.333333	0.366337	0.402985	0.433134	0.463536	0.434783	0.404119	0.40086	0.377581	0.375592	0.369756	0.376493	0.378643	0.380448
21_17183290	21	17183290	0.48	0.431373	0.405941	0.40796	0.45509	0.454545	0.451774	0.438112	0.39756	0.385431	0.372753	0.367346	0.376513	0.378719	0.380577
21_17185299	21	17185299	0.44	0.45098	0.435644	0.457711	0.401198	0.401598	0.427286	0.414517	0.39736	0.389381	0.372493	0.367046	0.376933	0.378881	0.380675
21_17186284	21	17186284	0.44	0.470588	0.455446	0.477612	0.493014	0.434565	0.402799	0.396321	0.39716	0.388481	0.373653	0.367466	0.377103	0.379055	0.380686
21_17187148	21	17187148	0.4	0.392157	0.386139	0.373134	0.363273	0.348651	0.372314	0.372925	0.40076	0.39003	0.371993	0.367806	0.377198	0.379091	0.380699
21_17187182	21	17187182	0.28	0.313725	0.356436	0.383085	0.369261	0.341658	0.376812	0.371726	0.40136	0.389981	0.371793	0.367816	0.377158	0.379091	0.380704
21_17188196	21	17188196	0.44	0.509804	0.49505	0.452736	0.361277	0.368631	0.338831	0.359928	0.40106	0.386731	0.373273	0.367366	0.376973	0.379125	0.380646
21_17188397	21	17188397	0.44	0.372549	0.346535	0.298507	0.37525	0.350649	0.335332	0.352529	0.40106	0.387331	0.373833	0.367286	0.376833	0.379151	0.380654
21_17189306	21	17189306	0.4	0.352941	0.316832	0.303483	0.305389	0.302697	0.321339	0.363927	0.39676	0.387981	0.370673	0.366976	0.376438	0.379343	0.380808
21_17190196	21	17190196	0.28	0.27451	0.326733	0.328358	0.339321	0.333666	0.338831	0.385723	0.391561	0.387931	0.370893	0.367076	0.376798	0.379439	0.380878
21_17190977	21	17190977	0.4	0.392157	0.425743	0.402985	0.40519	0.397602	0.418291	0.396721	0.384162	0.39023	0.369193	0.368266	0.376183	0.379509	0.380932
21_17191817	21	17191817	0.56	0.54902	0.584158	0.552239	0.512974	0.505495	0.476762	0.411718	0.375462	0.387981	0.368833	0.368796	0.376013	0.379633	0.381019
21_17192386	21	17192386	0.28	0.372549	0.39604	0.437811	0.447106	0.462537	0.473763	0.415317	0.376262	0.383981	0.370513	0.368906	0.376693	0.379693	0.380997
21_17192434	21	17192434	0.32	0.372549	0.386139	0.40796	0.451098	0.467532	0.471764	0.416317	0.376062	0.383181	0.370653	0.368856	0.376758	0.379689	0.380996
21_17192707	21	17192707	0.4	0.431373	0.534653	0.537313	0.47505	0.451548	0.461269	0.416517	0.376462	0.381481	0.371193	0.368706	0.377163	0.379693	0.381026
21_17193598	21	17193598	0.52	0.372549	0.39604	0.437811	0.433134	0.42957	0.418291	0.414317	0.375862	0.375931	0.370513	0.368986	0.377693	0.379669	0.381094
21_17193824	21	17193824	0.36	0.372549	0.376238	0.412935	0.423154	0.403596	0.4003	0.408918	0.376062	0.374231	0.370293	0.368906	0.377673	0.379699	0.381092
21_17194073	21	17194073	0.56	0.392157	0.386139	0.41791	0.367265	0.376623	0.390305	0.395521	0.377262	0.373431	0.369973	0.368946	0.377578	0.379691	0.38115
21_17194110	21	17194110	0.4	0.372549	0.356436	0.373134	0.371257	0.371628	0.390305	0.394121	0.377662	0.373581	0.369953	0.368986	0.377583	0.379673	0.381138
21_17195334	21	17195334	0.36	0.411765	0.336634	0.323383	0.341317	0.342657	0.344828	0.362927	0.378862	0.370031	0.367913	0.369326	0.377273	0.379997	0.381138
21_17195856	21	17195856	0.4	0.294118	0.277228	0.278607	0.303393	0.317682	0.328836	0.360528	0.384962	0.367832	0.368113	0.368856	0.377258	0.379895	0.381134
21_17195926	21	17195926	0.32	0.235294	0.277228	0.288557	0.297405	0.318681	0.333333	0.359928	0.385461	0.367082	0.368093	0.368836	0.377208	0.379885	0.381127
21_17195950	21	17195950	0.2	0.294118	0.277228	0.288557	0.299401	0.316683	0.330835	0.359328	0.385261	0.366982	0.368273	0.368836	0.377188	0.379895	0.381124
21_17196498	21	17196498	0.28	0.254902	0.237624	0.248756	0.293413	0.335664	0.33983	0.346931	0.376762	0.365832	0.368273	0.369506	0.377518	0.379837	0.381132
21_17199012	21	17199012	0.28	0.294118	0.277228	0.333333	0.371257	0.340659	0.33983	0.353929	0.347465	0.360632	0.366553	0.371836	0.379213	0.379871	0.381413
21_17199533	21	17199533	0.24	0.235294	0.267327	0.268657	0.299401	0.32967	0.343328	0.362328	0.348365	0.363932	0.365333	0.372436	0.379698	0.379921	0.381485
21_17199996	21	17199996	0.48	0.431373	0.445545	0.358209	0.357285	0.337662	0.36032	0.356329	0.351665	0.363732	0.364953	0.372546	0.380083	0.380075	0.381556
21_17200971	21	17200971	0.4	0.470588	0.415842	0.38806	0.38523	0.372627	0.391804	0.347331	0.349365	0.366782	0.365253	0.372246	0.380313	0.380171	0.381749
21_17201098	21	17201098	0.44	0.431373	0.386139	0.383085	0.355289	0.352647	0.388806	0.34873	0.351565	0.366082	0.365113	0.372266	0.380393	0.380155	0.381761
21_17201483	21	17201483	0.28	0.235294	0.287129	0.323383	0.345309	0.38961	0.373813	0.34993	0.356364	0.363582	0.364633	0.371936	0.380663	0.380311	0.381784
21_17204101	21	17204101	0.36	0.431373	0.39604	0.353234	0.357285	0.361638	0.384308	0.361728	0.344366	0.348183	0.364153	0.371786	0.381478	0.380489	0.381894
21_17206624	21	17206624	0.56	0.392157	0.356436	0.383085	0.359281	0.368631	0.341329	0.339132	0.348065	0.348833	0.365633	0.370786	0.381173	0.380825	0.382248
21_17206922	21	17206922	0.24	0.27451	0.306931	0.308458	0.289421	0.325674	0.342829	0.345331	0.342366	0.350782	0.364533	0.370786	0.381333	0.380803	0.382234
21_17207806	21	17207806	0.4	0.294118	0.277228	0.268657	0.283433	0.28971	0.290855	0.337932	0.346865	0.357332	0.362913	0.370496	0.381823	0.381093	0.382257
21_17208036	21	17208036	0.32	0.254902	0.267327	0.268657	0.297405	0.286713	0.302349	0.338732	0.352965	0.356382	0.362413	0.370646	0.381818	0.381039	0.382286
21_17208301	21	17208301	0.32	0.254902	0.287129	0.298507	0.293413	0.291708	0.318841	0.344731	0.354965	0.355582	0.361913	0.370466	0.381763	0.380951	0.382306
21_17208776	21	17208776	0.32	0.333333	0.287129	0.273632	0.323353	0.348651	0.34033	0.343131	0.351765	0.356382	0.360593	0.370236	0.382123	0.380971	0.382324
21_17211308	21	17211308	0.4	0.411765	0.39604	0.437811	0.357285	0.342657	0.347326	0.366727	0.342166	0.354782	0.357693	0.371076	0.381833	0.381421	0.382278
21_17211698	21	17211698	0.32	0.313725	0.326733	0.298507	0.265469	0.316683	0.347326	0.355729	0.340866	0.355232	0.357673	0.371006	0.381918	0.381447	0.382235
21_17213038	21	17213038	0.32	0.392157	0.415842	0.457711	0.461078	0.406593	0.36032	0.358928	0.365363	0.355332	0.358273	0.370496	0.381953	0.381767	0.382228
21_17214086	21	17214086	0.28	0.333333	0.287129	0.308458	0.297405	0.298701	0.354823	0.342931	0.367663	0.353332	0.358293	0.369096	0.382043	0.381935	0.382281
21_17214436	21	17214436	0.4	0.333333	0.356436	0.333333	0.369261	0.374625	0.34033	0.355729	0.364064	0.352382	0.359153	0.368906	0.381978	0.381971	0.382325
21_17214437	21	17214437	0.44	0.333333	0.356436	0.328358	0.369261	0.374625	0.33983	0.355929	0.363964	0.352332	0.359153	0.368896	0.381978	0.381971	0.382325
21_17215464	21	17215464	0.24	0.294118	0.287129	0.233831	0.273453	0.312687	0.342329	0.374125	0.364664	0.348083	0.361413	0.367756	0.381893	0.382189	0.382416
21_17215647	21	17215647	0.2	0.196078	0.227723	0.288557	0.263473	0.286713	0.331834	0.370326	0.363464	0.348733	0.362253	0.367686	0.381913	0.382227	0.382446
21_17215836	21	17215836	0.32	0.235294	0.287129	0.288557	0.289421	0.273726	0.336832	0.367526	0.362064	0.348883	0.363193	0.367736	0.381963	0.382247	0.382477
21_17215872	21	17215872	0.4	0.27451	0.287129	0.288557	0.283433	0.276723	0.337831	0.367327	0.362164	0.348633	0.363333	0.367736	0.381973	0.382261	0.382476
21_17216616	21	17216616	0.28	0.254902	0.376238	0.38806	0.411178	0.40959	0.406297	0.376325	0.362964	0.344983	0.363933	0.367236	0.382053	0.382391	0.38252
21_17217490	21	17217490	0.52	0.607843	0.574257	0.517413	0.489022	0.464535	0.434783	0.366927	0.362564	0.347533	0.361813	0.366476	0.382108	0.382189	0.382563
21_17218016	21	17218016	0.44	0.352941	0.376238	0.313433	0.339321	0.367632	0.4008	0.368526	0.358164	0.348983	0.360653	0.366676	0.382003	0.382159	0.382606
21_17218281	21	17218281	0.32	0.431373	0.366337	0.353234	0.349301	0.341658	0.376812	0.372925	0.355764	0.349783	0.360613	0.366486	0.381968	0.382241	0.382634
21_17219586	21	17219586	0.36	0.352941	0.366337	0.363184	0.329341	0.331668	0.342329	0.365727	0.354865	0.350682	0.359913	0.365096	0.382293	0.382671	0.382879
21_17220026	21	17220026	0.16	0.254902	0.306931	0.358209	0.347305	0.353646	0.344828	0.34933	0.347165	0.351932	0.359873	0.364256	0.382133	0.382735	0.383075
21_17220310	21	17220310	0.36	0.352941	0.376238	0.383085	0.365269	0.350649	0.345827	0.345931	0.346365	0.352282	0.359873	0.363986	0.382213	0.382833	0.38321
21_17220660	21	17220660	0.48	0.352941	0.356436	0.358209	0.355289	0.365634	0.355322	0.341532	0.349165	0.354182	0.359893	0.364096	0.382008	0.382949	0.383346
21_17221226	21	17221226	0.36	0.372549	0.326733	0.313433	0.353293	0.360639	0.356322	0.342132	0.349665	0.351832	0.360653	0.363726	0.381763	0.383237	0.383477
21_17221360	21	17221360	0.4	0.392157	0.366337	0.333333	0.347305	0.355644	0.353823	0.340932	0.350965	0.351382	0.360793	0.363846	0.381728	0.383307	0.383484
21_17221468	21	17221468	0.44	0.352941	0.346535	0.348259	0.359281	0.341658	0.354323	0.340732	0.350365	0.351432	0.361353	0.364096	0.381743	0.383393	0.383491
21_17227180	21	17227180	0.44	0.313725	0.326733	0.333333	0.369261	0.344655	0.346827	0.346931	0.341666	0.353482	0.365653	0.367516	0.378763	0.384793	0.383884
21_17227502	21	17227502	0.12	0.176471	0.29703	0.328358	0.337325	0.33966	0.342329	0.35173	0.339966	0.351832	0.366153	0.367956	0.378708	0.384719	0.383892
21_17227571	21	17227571	0.48	0.372549	0.405941	0.298507	0.335329	0.348651	0.341829	0.35133	0.340166	0.351332	0.366373	0.367856	0.378718	0.384703	0.38391
21_17229264	21	17229264	0.52	0.568627	0.574257	0.452736	0.39521	0.395604	0.376312	0.360928	0.346665	0.350882	0.367433	0.368426	0.379408	0.384621	0.383929
21_17229303	21	17229303	0.68	0.588235	0.50495	0.457711	0.39521	0.394605	0.38081	0.360328	0.346465	0.351132	0.367553	0.368576	0.379413	0.384619	0.383932
21_17230990	21	17230990	0.4	0.254902	0.326733	0.293532	0.303393	0.347652	0.36082	0.365727	0.362164	0.361582	0.366433	0.370726	0.379958	0.384673	0.383937
21_17230995	21	17230995	0.32	0.254902	0.326733	0.298507	0.303393	0.346653	0.361819	0.365527	0.362264	0.361682	0.366413	0.370716	0.379963	0.384677	0.383936
21_17231244	21	17231244	0.32	0.294118	0.326733	0.358209	0.343313	0.314685	0.354823	0.365527	0.362364	0.364332	0.366013	0.370406	0.380073	0.384699	0.383954
21_17233094	21	17233094	0.44	0.352941	0.386139	0.333333	0.307385	0.360639	0.349325	0.359928	0.368363	0.369332	0.368233	0.369196	0.379508	0.385219	0.383909
21_17234217	21	17234217	0.2	0.196078	0.227723	0.263682	0.349301	0.351648	0.365317	0.367926	0.366263	0.371931	0.367993	0.368386	0.379178	0.385411	0.383945
21_17234409	21	17234409	0.6	0.509804	0.445545	0.422886	0.355289	0.357642	0.374813	0.372326	0.366263	0.372931	0.368073	0.368186	0.379123	0.385377	0.383971
21_17236183	21	17236183	0.32	0.352941	0.366337	0.353234	0.359281	0.366633	0.373813	0.369726	0.385361	0.378281	0.368053	0.366986	0.379228	0.385841	0.384082
21_17236597	21	17236597	0.48	0.431373	0.405941	0.41791	0.421158	0.384615	0.369315	0.369926	0.391661	0.380431	0.369373	0.366546	0.379133	0.386041	0.384104
21_17237726	21	17237726	0.28	0.27451	0.306931	0.343284	0.359281	0.381618	0.36032	0.378324	0.393361	0.383481	0.369013	0.366446	0.378743	0.386201	0.384189
21_17238235	21	17238235	0.36	0.372549	0.366337	0.348259	0.339321	0.342657	0.357821	0.391122	0.394361	0.384581	0.367333	0.366426	0.378698	0.386205	0.384162
21_17238855	21	17238855	0.44	0.45098	0.376238	0.358209	0.339321	0.351648	0.372814	0.417516	0.394261	0.39028	0.367093	0.366416	0.378563	0.386333	0.384204
21_17238857	21	17238857	0.48	0.45098	0.386139	0.358209	0.337325	0.351648	0.373313	0.417716	0.394261	0.39033	0.367113	0.366426	0.378563	0.386333	0.384204
21_17239408	21	17239408	0.36	0.45098	0.455446	0.467662	0.437126	0.40959	0.404298	0.412118	0.39786	0.39138	0.367373	0.366256	0.378443	0.386291	0.384235
21_17242085	21	17242085	0.4	0.431373	0.445545	0.427861	0.389222	0.372627	0.405297	0.417916	0.39586	0.389731	0.364513	0.367036	0.379223	0.386791	0.384129
21_17242174	21	17242174	0.48	0.392157	0.356436	0.412935	0.389222	0.365634	0.4003	0.416717	0.39576	0.39043	0.363993	0.367336	0.379273	0.386803	0.384128
21_17243854	21	17243854	0.24	0.294118	0.326733	0.343284	0.355289	0.367632	0.373313	0.372126	0.413959	0.39258	0.361693	0.368956	0.379738	0.387057	0.384039
21_17244050	21	17244050	0.52	0.45098	0.415842	0.427861	0.403194	0.365634	0.369815	0.375125	0.415358	0.39263	0.361393	0.368756	0.379758	0.387119	0.384046
21_17245372	21	17245372	0.36	0.352941	0.386139	0.39801	0.373253	0.344655	0.367316	0.382124	0.411759	0.387231	0.360173	0.368526	0.380588	0.387423	0.384228
21_17245445	21	17245445	0.32	0.352941	0.346535	0.353234	0.367265	0.346653	0.370315	0.383123	0.410459	0.387181	0.360273	0.368556	0.380578	0.387417	0.384233
21_17245446	21	17245446	0.28	0.372549	0.346535	0.348259	0.365269	0.346653	0.370315	0.383123	0.410459	0.387181	0.360273	0.368546	0.380573	0.387419	0.384233
21_17245527	21	17245527	0.36	0.372549	0.366337	0.338308	0.353293	0.358641	0.381309	0.382723	0.408659	0.386481	0.360013	0.368616	0.380553	0.387429	0.38424
21_17248434	21	17248434	0.56	0.45098	0.50495	0.532338	0.546906	0.494505	0.45927	0.418916	0.388061	0.385931	0.364773	0.372206	0.380713	0.387767	0.384507
21_17248937	21	17248937	0.52	0.529412	0.49505	0.427861	0.473054	0.480519	0.453273	0.411718	0.391361	0.387381	0.365353	0.372756	0.381048	0.387845	0.384532
21_17249446	21	17249446	0.64	0.54902	0.445545	0.452736	0.433134	0.410589	0.431284	0.40232	0.386161	0.386281	0.366353	0.373276	0.380988	0.387889	0.384526
21_17256040	21	17256040	0.28	0.352941	0.277228	0.278607	0.363273	0.376623	0.354823	0.35053	0.353365	0.363232	0.374793	0.379556	0.381748	0.388863	0.384737
21_17256057	21	17256057	0.28	0.27451	0.306931	0.313433	0.371257	0.377622	0.355322	0.34953	0.353065	0.363082	0.374833	0.379556	0.381743	0.388873	0.384738
21_17257273	21	17257273	0.36	0.313725	0.316832	0.348259	0.37525	0.375624	0.366817	0.353529	0.363964	0.357382	0.374533	0.380816	0.381763	0.389177	0.384851
21_17257376	21	17257376	0.12	0.254902	0.316832	0.313433	0.387226	0.373626	0.356322	0.353329	0.362864	0.356182	0.374753	0.381036	0.381753	0.389157	0.384859
21_17259859	21	17259859	0.32	0.372549	0.405941	0.39801	0.345309	0.376623	0.361819	0.367526	0.344566	0.339183	0.376672	0.384236	0.382263	0.389505	0.385122
21_17260414	21	17260414	0.4	0.431373	0.39604	0.40796	0.39521	0.360639	0.381309	0.356729	0.345565	0.338083	0.375812	0.384416	0.382548	0.389593	0.385124
21_17261521	21	17261521	0.4	0.411765	0.39604	0.437811	0.43513	0.416583	0.368816	0.346131	0.338866	0.338633	0.375632	0.384346	0.383063	0.389825	0.385069
21_17262452	21	17262452	0.28	0.235294	0.287129	0.298507	0.277445	0.310689	0.317841	0.332733	0.335266	0.346633	0.374693	0.384726	0.383338	0.390127	0.385115
21_17267499	21	17267499	0.32	0.313725	0.316832	0.343284	0.331337	0.340659	0.342829	0.314737	0.333067	0.355282	0.374633	0.384556	0.383768	0.391815	0.38545
21_17267635	21	17267635	0.64	0.568627	0.50495	0.457711	0.399202	0.345654	0.330835	0.315737	0.334667	0.354182	0.375412	0.384236	0.383788	0.391801	0.385481
21_17267646	21	17267646	0.52	0.54902	0.475248	0.437811	0.403194	0.344655	0.330835	0.316137	0.335166	0.354082	0.375472	0.384266	0.383793	0.391799	0.385482
21_17267800	21	17267800	0.44	0.45098	0.475248	0.442786	0.40519	0.34965	0.32034	0.313337	0.336566	0.355232	0.376392	0.384086	0.383853	0.391781	0.385483
21_17268721	21	17268721	0.28	0.352941	0.287129	0.283582	0.283433	0.285714	0.29985	0.311938	0.346665	0.357932	0.378472	0.385086	0.383858	0.391805	0.385502
21_17270310	21	17270310	0.48	0.411765	0.405941	0.378109	0.329341	0.325674	0.309345	0.359928	0.359764	0.368082	0.377312	0.386056	0.384093	0.392055	0.385518
21_17270348	21	17270348	0.56	0.509804	0.49505	0.39801	0.343313	0.331668	0.315342	0.358928	0.359864	0.368382	0.377192	0.385966	0.384103	0.392069	0.385522
21_17270558	21	17270558	0.4	0.411765	0.336634	0.278607	0.351297	0.315684	0.342329	0.362328	0.361964	0.368532	0.377172	0.385846	0.384268	0.392091	0.385524
21_17271366	21	17271366	0.56	0.509804	0.475248	0.487562	0.44511	0.433566	0.424288	0.374325	0.365863	0.366432	0.378532	0.385446	0.384543	0.392185	0.38559
21_17272013	21	17272013	0.6	0.627451	0.594059	0.567164	0.538922	0.51049	0.449275	0.393721	0.367763	0.363682	0.379892	0.386026	0.384488	0.392357	0.385606
21_17272027	21	17272027	0.56	0.647059	0.613861	0.557214	0.538922	0.509491	0.450775	0.393721	0.367663	0.363582	0.379892	0.385976	0.384463	0.392345	0.385601
21_17272194	21	17272194	0.52	0.568627	0.534653	0.487562	0.49501	0.48951	0.463768	0.395921	0.369963	0.363882	0.380292	0.385686	0.384373	0.392381	0.385596
21_17272478	21	17272478	0.44	0.45098	0.435644	0.427861	0.401198	0.441558	0.458271	0.39872	0.375762	0.365732	0.380472	0.385656	0.384393	0.392519	0.38562
21_17272549	21	17272549	0.28	0.254902	0.356436	0.412935	0.391218	0.426573	0.451274	0.39952	0.375762	0.365632	0.380472	0.385706	0.384338	0.392499	0.385612
21_17272984	21	17272984	0.24	0.235294	0.376238	0.40796	0.399202	0.397602	0.417291	0.403119	0.375262	0.370631	0.381212	0.385686	0.384158	0.392515	0.385574
21_17273029	21	17273029	0.56	0.54902	0.425743	0.412935	0.409182	0.394605	0.411794	0.405919	0.375862	0.371281	0.381292	0.385686	0.384133	0.392515	0.385577
21_17273423	21	17273423	0.52	0.470588	0.425743	0.40796	0.391218	0.390609	0.394803	0.410918	0.378562	0.374131	0.380872	0.385636	0.384048	0.392593	0.385609
21_17274160	21	17274160	0.44	0.372549	0.39604	0.38806	0.401198	0.38961	0.381809	0.406519	0.389361	0.376331	0.380192	0.386416	0.384353	0.392719	0.385665
21_17274300	21	17274300	0.48	0.392157	0.376238	0.393035	0.377246	0.378621	0.385307	0.40032	0.393461	0.376431	0.380072	0.386586	0.384453	0.392777	0.385679
21_17274340	21	17274340	0.28	0.313725	0.39604	0.378109	0.377246	0.380619	0.386307	0.39772	0.394661	0.376481	0.380252	0.386616	0.384448	0.392803	0.385679
21_17274717	21	17274717	0.32	0.352941	0.336634	0.333333	0.363273	0.373626	0.383808	0.387522	0.40126	0.377081	0.380252	0.386976	0.384358	0.392931	0.385693
21_17275201	21	17275201	0.4	0.490196	0.465347	0.38806	0.383234	0.383616	0.37981	0.387323	0.412059	0.378731	0.381332	0.386956	0.384543	0.392987	0.385774
21_17276021	21	17276021	0.36	0.392157	0.326733	0.353234	0.379242	0.372627	0.38081	0.388722	0.418358	0.379681	0.383152	0.387326	0.384813	0.392963	0.385895
21_17276792	21	17276792	0.32	0.392157	0.356436	0.353234	0.389222	0.386613	0.392804	0.39772	0.407859	0.380781	0.385052	0.387516	0.385673	0.392959	0.385928
21_17277481	21	17277481	0.56	0.431373	0.386139	0.402985	0.423154	0.424575	0.403298	0.416517	0.39836	0.382331	0.386272	0.387946	0.386078	0.392911	0.385952
21_17277831	21	17277831	0.48	0.470588	0.485149	0.452736	0.43513	0.425574	0.401299	0.424715	0.40116	0.381581	0.386712	0.388756	0.386023	0.392807	0.385947
21_17278498	21	17278498	0.36	0.411765	0.326733	0.323383	0.355289	0.393606	0.425287	0.425315	0.40416	0.382331	0.387792	0.390176	0.385963	0.393057	0.385852
21_17278834	21	17278834	0.2	0.313725	0.336634	0.412935	0.441118	0.425574	0.442279	0.420916	0.40436	0.383581	0.387352	0.390096	0.386078	0.393239	0.385888
21_17279082	21	17279082	0.56	0.529412	0.514851	0.492537	0.508982	0.466533	0.452774	0.416317	0.40296	0.383431	0.387992	0.390276	0.386138	0.393313	0.385864
21_17280673	21	17280673	0.36	0.372549	0.39604	0.38806	0.361277	0.390609	0.401799	0.417516	0.39696	0.39078	0.392212	0.389986	0.386683	0.393681	0.385925
21_17280675	21	17280675	0.4	0.392157	0.39604	0.38806	0.359281	0.388611	0.4008	0.417516	0.39696	0.39083	0.392232	0.389976	0.386688	0.393685	0.385924
21_17281024	21	17281024	0.28	0.372549	0.326733	0.363184	0.317365	0.318681	0.362819	0.420516	0.39766	0.39108	0.392812	0.390396	0.386778	0.393765	0.385943
21_17281145	21	17281145	0.28	0.294118	0.277228	0.293532	0.311377	0.318681	0.356822	0.423115	0.39716	0.39238	0.393152	0.390436	0.386793	0.393807	0.385957
21_17282712	21	17282712	0.56	0.509804	0.554455	0.532338	0.467066	0.464535	0.412294	0.374725	0.389461	0.39898	0.395712	0.391136	0.386103	0.393911	0.385984
21_17282729	21	17282729	0.6	0.588235	0.554455	0.537313	0.47505	0.463536	0.413793	0.373525	0.388761	0.39923	0.395672	0.391116	0.386108	0.393915	0.385981
21_17282909	21	17282909	0.4	0.392157	0.465347	0.522388	0.532934	0.464535	0.421289	0.370726	0.388261	0.40143	0.395612	0.391056	0.386033	0.393913	0.385971
21_17283195	21	17283195	0.48	0.372549	0.376238	0.39801	0.463074	0.451548	0.414793	0.366927	0.387161	0.40413	0.395712	0.391326	0.385948	0.393833	0.385973
21_17283589	21	17283589	0.4	0.392157	0.39604	0.378109	0.381238	0.383616	0.406797	0.371326	0.386161	0.40398	0.396852	0.391666	0.385838	0.393809	0.385979
21_17284955	21	17284955	0.16	0.313725	0.287129	0.313433	0.327345	0.342657	0.346827	0.371526	0.367063	0.40098	0.400012	0.391176	0.385818	0.393671	0.386014
21_17285815	21	17285815	0.52	0.470588	0.445545	0.402985	0.361277	0.36963	0.357321	0.354329	0.362964	0.39928	0.400332	0.390556	0.385803	0.393729	0.386016
21_17286357	21	17286357	0.24	0.215686	0.277228	0.308458	0.351297	0.363636	0.352824	0.34973	0.368563	0.40243	0.400072	0.390836	0.385393	0.393733	0.38606
21_17287281	21	17287281	0.44	0.352941	0.346535	0.333333	0.319361	0.336663	0.347326	0.343331	0.387161	0.40758	0.399932	0.390746	0.385393	0.393899	0.38614
21_17287349	21	17287349	0.24	0.313725	0.287129	0.298507	0.329341	0.338661	0.346827	0.346131	0.388861	0.40778	0.400092	0.390536	0.385418	0.393899	0.38614
21_17289933	21	17289933	0.56	0.568627	0.524752	0.512438	0.512974	0.447552	0.368316	0.411718	0.40166	0.40973	0.404412	0.389946	0.385903	0.394183	0.386201
21_17289999	21	17289999	0.4	0.45098	0.465347	0.527363	0.510978	0.446553	0.375312	0.417117	0.40226	0.410029	0.404732	0.389936	0.385928	0.394173	0.386182
21_17290735	21	17290735	0.12	0.235294	0.29703	0.328358	0.337325	0.373626	0.421789	0.45211	0.40196	0.40968	0.405012	0.389246	0.386388	0.394169	0.386136
21_17294110	21	17294110	0.28	0.294118	0.277228	0.318408	0.319361	0.338661	0.355322	0.461308	0.444956	0.420179	0.410232	0.390606	0.385683	0.393939	0.386009
21_17294164	21	17294164	0.4	0.313725	0.287129	0.313433	0.325349	0.333666	0.349825	0.461308	0.446355	0.420679	0.410432	0.390566	0.385688	0.393935	0.385994
21_17294408	21	17294408	0.36	0.313725	0.336634	0.368159	0.353293	0.338661	0.34083	0.462507	0.450055	0.421979	0.411012	0.390556	0.385813	0.393883	0.385994
21_17294942	21	17294942	0.32	0.333333	0.346535	0.363184	0.357285	0.346653	0.343328	0.438712	0.452255	0.425429	0.411132	0.391376	0.386003	0.393979	0.386043
21_17295156	21	17295156	0.36	0.313725	0.29703	0.333333	0.341317	0.345654	0.358321	0.432114	0.452155	0.426929	0.411732	0.391796	0.386128	0.393979	0.386034
21_17296122	21	17296122	0.68	0.666667	0.653465	0.567164	0.512974	0.478521	0.443278	0.419916	0.459854	0.429029	0.411652	0.391996	0.386573	0.394115	0.386131
21_17296557	21	17296557	0.68	0.607843	0.534653	0.537313	0.552894	0.548452	0.477761	0.429714	0.462354	0.431828	0.411032	0.391596	0.386523	0.394189	0.386165
